Company Name,Jurisdiction,Notes
Apple Inc.,US-CA,Large legitimate tech company
Microsoft Corporation,US-WA,Large legitimate tech company
Terraform Labs Pte. Ltd.,SG,"Crypto fraud - $4.5B SEC settlement"
FTX Trading Ltd.,BS,"Crypto exchange fraud - bankruptcy"
BitConnect,US,Ponzi scheme - $2.4B fraud
Shell Global Holdings LLC,US-DE,Legitimate energy company
Acme Offshore Services Ltd,VG,Example offshore entity
Global Ventures International,KY,Example Cayman Islands entity
First National Bank Corp,US-NY,Legitimate financial institution
Pacific Trading Group PTE,SG,Example Singapore entity
Nordic Capital Partners AB,SE,Example Swedish investment firm
Sunrise Healthcare Holdings,US-FL,Example healthcare company
Digital Assets Exchange Inc,US,Example crypto company
Mediterranean Shipping Co,CH,Legitimate shipping company
Atlantic Investment Trust,GB,Example UK investment trust
